split,subject_key,site,threshold,min_size_voxels,dice,predicted_voxels,reference_voxels,volume_ratio,recall_voxelwise
train,training_Amsterdam_GE3T_105,Amsterdam,1.05,3,0.04783047580014724,128505,3252,39.51568265682657,0.9689421894218943
train,training_Amsterdam_GE3T_105,Amsterdam,1.05,5,0.047860493048217774,128297,3252,39.45172201722017,0.968019680196802
train,training_Amsterdam_GE3T_105,Amsterdam,1.1,0,0.06287864421666184,96941,3252,29.809655596555967,0.9686346863468634
train,training_Amsterdam_GE3T_105,Amsterdam,1.1,2,0.0630700077085565,96637,3252,29.716174661746617,0.9686346863468634
train,training_Amsterdam_GE3T_105,Amsterdam,1.1,3,0.0631792319348138,96401,3252,29.643603936039362,0.968019680196802
train,training_Amsterdam_GE3T_105,Amsterdam,1.1,5,0.063380210797588,96085,3252,29.546432964329643,0.968019680196802
train,training_Amsterdam_GE3T_105,Amsterdam,1.15,0,0.08677949200897432,68954,3252,21.203567035670357,0.9634071340713407
train,training_Amsterdam_GE3T_105,Amsterdam,1.15,2,0.08727272727272728,68523,3252,21.071033210332104,0.9630996309963099
train,training_Amsterdam_GE3T_105,Amsterdam,1.15,3,0.08762720642786154,68187,3252,20.967712177121772,0.9624846248462484
train,training_Amsterdam_GE3T_105,Amsterdam,1.15,5,0.08806678209946929,67785,3252,20.84409594095941,0.9618696186961869
train,training_Amsterdam_GE3T_105,Amsterdam,1.2,0,0.12273482630371133,47296,3252,14.543665436654367,0.9538745387453874
train,training_Amsterdam_GE3T_105,Amsterdam,1.2,2,0.12392495699827993,46746,3252,14.374538745387454,0.9526445264452644
train,training_Amsterdam_GE3T_105,Amsterdam,1.2,3,0.12481857764876633,46356,3252,14.254612546125461,0.9520295202952029
train,training_Amsterdam_GE3T_105,Amsterdam,1.2,5,0.1258841034630358,45809,3252,14.08640836408364,0.949569495694957
train,training_Amsterdam_GE3T_105,Amsterdam,1.25,0,0.17577978474767003,31405,3252,9.657134071340714,0.9366543665436654
train,training_Amsterdam_GE3T_105,Amsterdam,1.25,2,0.17842055855432998,30836,3252,9.482164821648217,0.9351168511685117
train,training_Amsterdam_GE3T_105,Amsterdam,1.25,3,0.18069851847444518,30362,3252,9.33640836408364,0.9338868388683886
train,training_Amsterdam_GE3T_105,Amsterdam,1.25,5,0.18315974858045123,29681,3252,9.1269987699877,0.9274292742927429
train,training_Amsterdam_GE3T_105,Amsterdam,1.3,0,0.2483221476510067,20588,3252,6.3308733087330875,0.9102091020910209
train,training_Amsterdam_GE3T_105,Amsterdam,1.3,2,0.2532904608788853,20073,3252,6.172509225092251,0.9083640836408364
train,training_Amsterdam_GE3T_105,Amsterdam,1.3,3,0.2567703109327984,19679,3252,6.051353013530135,0.9052890528905289
train,training_Amsterdam_GE3T_105,Amsterdam,1.3,5,0.2613423656297353,19186,3252,5.8997539975399755,0.9015990159901599
train,training_Amsterdam_GE3T_105,Amsterdam,1.35,0,0.3331158431698203,13607,3252,4.184194341943419,0.8634686346863468
train,training_Amsterdam_GE3T_105,Amsterdam,1.35,2,0.34027061464716946,13229,3252,4.067958179581796,0.8622386223862238
train,training_Amsterdam_GE3T_105,Amsterdam,1.35,3,0.34647624961192175,12853,3252,3.9523370233702337,0.8579335793357934
train,training_Amsterdam_GE3T_105,Amsterdam,1.35,5,0.35340497234056084,12475,3252,3.8361008610086103,0.8545510455104551
train,training_Amsterdam_GE3T_105,Amsterdam,1.4,0,0.4238656547715162,9134,3252,2.8087330873308733,0.8071955719557196
train,training_Amsterdam_GE3T_105,Amsterdam,1.4,2,0.4326422730651689,8855,3252,2.722939729397294,0.8053505535055351
train,training_Amsterdam_GE3T_105,Amsterdam,1.4,3,0.43826174665882156,8645,3252,2.658364083640836,0.801660516605166
train,training_Amsterdam_GE3T_105,Amsterdam,1.4,5,0.4463763126183508,8366,3252,2.572570725707257,0.7973554735547356
train,training_Amsterdam_GE3T_105,Amsterdam,1.5,0,0.5707700650759219,4124,3252,1.2681426814268142,0.6472939729397293
train,training_Amsterdam_GE3T_105,Amsterdam,1.5,2,0.5791069459757442,4004,3252,1.2312423124231242,0.6460639606396064
train,training_Amsterdam_GE3T_105,Amsterdam,1.5,3,0.585195530726257,3908,3252,1.2017220172201721,0.6442189421894219
train,training_Amsterdam_GE3T_105,Amsterdam,1.5,5,0.5906824333950705,3767,3252,1.1583640836408364,0.6374538745387454
train,training_Amsterdam_GE3T_105,Amsterdam,1.6,0,0.6010687304219643,2175,3252,0.6688191881918819,0.5015375153751538
train,training_Amsterdam_GE3T_105,Amsterdam,1.6,2,0.6067961165048543,2104,3252,0.6469864698646987,0.49969249692496925
train,training_Amsterdam_GE3T_105,Amsterdam,1.6,3,0.6099397590361446,2060,3252,0.6334563345633456,0.4981549815498155
train,training_Amsterdam_GE3T_105,Amsterdam,1.6,5,0.6098774885145483,1972,3252,0.6063960639606396,0.48985239852398527
train,training_Amsterdam_GE3T_106,Amsterdam,1.05,0,0.00919976041079082,171100,861,198.72241579558653,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.05,2,0.009205220558713829,170998,861,198.60394889663183,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.05,3,0.009208971470815943,170928,861,198.5226480836237,0.9186991869918699
