subject_key,site,method,runtime_s,ssim,cnr_before,cnr_after,n_lesions,retention_mean,retention_median,lesions_below_half_retention,fraction_below_half_retention,small_lesion_threshold,retention_small,n_small_lesions,small_lesions_below_half,retention_2_to_3vox,retention_4_to_5vox,retention_6_to_10vox,retention_11_to_20vox,retention_21_to_50vox,retention_over_50vox,retention_1_to_1vox
training_Amsterdam_GE3T_104,Amsterdam,gaussian,0.12080836296081543,0.9400596330858274,8.6996135008537,7.181433532898898,83,0.6236718277632413,0.6643443590986524,16,0.1927710843373494,10,0.5472436302819653,54,16,0.5829877907035185,0.5790004540439998,0.5586097165715609,0.6922277978608403,0.7602025919995017,0.8434256135142865,0.3349377740237167
training_Amsterdam_GE3T_105,Amsterdam,gaussian,0.12010049819946289,0.9429053416803449,8.592424737176474,6.543815331431712,44,0.6347554717800458,0.6883790324278716,8,0.18181818181818182,10,0.5418596177588373,25,8,0.4855995706042646,0.651319427066758,0.525970734186449,0.7281888632024671,0.7474282527282796,0.8183818563774958,
training_Amsterdam_GE3T_106,Amsterdam,gaussian,0.12074494361877441,0.9276754345088709,9.630003682568953,6.696365213259831,16,0.6654927737750554,0.7248975830010829,2,0.125,10,0.6227880000442669,10,2,0.5034121638978317,0.44672523083598265,0.6971363916529058,0.6809390755248387,0.7431845874114327,0.7508987098701718,0.5474621278957096
training_Amsterdam_GE3T_109,Amsterdam,gaussian,0.12170839309692383,0.9344141540525691,5.264223387886005,3.2364669953698972,50,0.5226292275955384,0.5531360211163949,18,0.36,10,0.4875919966357033,37,15,0.36786943895186325,0.6171029806255721,0.6664736144162648,0.6743415634977086,0.5812408531543877,0.615702283920516,0.4313520589865754
training_Amsterdam_GE3T_110,Amsterdam,gaussian,0.18666291236877441,0.9369859403992796,9.130193017958744,6.498840455196066,43,0.6109581751850377,0.6242548346905622,9,0.20930232558139536,10,0.5492135114374437,27,8,0.5269521454046229,0.5913971875721661,0.6329027189973361,0.669111421497819,0.688769110380848,0.7967845286508977,0.4356652431854584
training_Amsterdam_GE3T_112,Amsterdam,gaussian,0.18043732643127441,0.9377055282247955,6.610060904492846,4.65130290165892,76,0.602455639823161,0.6488441576870988,17,0.2236842105263158,10,0.5551097657610955,55,17,0.49698843383740393,0.6022009244108959,0.6434809778427424,0.6846884942548686,0.7738960797232435,0.7565376947558463,0.406467751002346
training_Amsterdam_GE3T_113,Amsterdam,gaussian,0.18219995498657227,0.9376680266050931,8.524891968818112,7.344431564825959,82,0.6315625618930256,0.6334786991782846,14,0.17073170731707318,10,0.5795930165580899,57,14,0.5874222077473585,0.5893097599650453,0.6372238983476991,0.6976360133777192,0.7670367418172045,0.8235063416207385,0.47298376479978965
training_Amsterdam_GE3T_114,Amsterdam,gaussian,0.18517494201660156,0.9400659587775708,7.7032272532358315,6.746956304042325,78,0.6926774557471941,0.7312936152212878,7,0.08974358974358974,10,0.6100737569258292,40,7,0.5102684889524499,0.6564883146338478,0.671541953269051,0.7172272023876446,0.7575665827699157,0.8377297045911332,0.5586838258361243
training_Amsterdam_GE3T_115,Amsterdam,gaussian,0.19724798202514648,0.9347503556134279,7.433540098095572,5.718654947617756,35,0.632234033372186,0.6336226889084242,4,0.11428571428571428,10,0.5908277017990643,24,4,0.5435937075550599,0.5888447931288974,0.6637924405720115,0.707448603003145,0.6951755454830821,0.7710945386213113,0.592705939479812
training_Amsterdam_GE3T_116,Amsterdam,gaussian,0.18584418296813965,0.9341214173895455,9.870486127593093,6.876962209463613,35,0.6066304452068128,0.6612205976225706,6,0.17142857142857143,10,0.5589236066164057,27,6,0.5315893885638832,0.5904887470644825,0.7143364588200464,0.8795315904569462,0.7074851636427192,0.8620853974624754,0.20511172525295077
training_Amsterdam_GE3T_126,Amsterdam,gaussian,0.17880964279174805,0.9397138030821335,8.464633482035108,6.986806992011298,47,0.7169456253064748,0.7682690940618854,4,0.0851063829787234,10,0.6759751875761509,30,4,0.6950938717693003,0.6456387692443645,0.7145998070358127,0.7302666360725152,0.8264207084860616,0.8492989246802468,0.5920961395710135
training_Amsterdam_GE3T_132,Amsterdam,gaussian,0.18777823448181152,0.9423644809903201,12.703576168142146,11.621385466492743,49,0.5817224604187424,0.6141392452674959,15,0.30612244897959184,10,0.5077144963789699,34,15,0.5178414851604459,0.5424162014271373,0.5269706627495835,0.6629162833896681,0.7615208554881576,0.8437053122685529,0.42265553549847107
training_Amsterdam_GE3T_137,Amsterdam,gaussian,0.1851053237915039,0.9380154474316057,6.095774717368331,4.612479843609342,152,0.5958340964269574,0.6758716188060472,17,0.1118421052631579,10,0.5169956077962626,100,17,0.49474470743728804,0.2819788348873606,0.6816969934914301,0.7208111690142547,0.7618115028702179,0.8191019422969159,0.6400003996009165
training_Amsterdam_GE3T_144,Amsterdam,gaussian,0.18871831893920898,0.9293633303592763,6.044075202816956,3.8145014361246306,82,0.5434682199541915,0.6036193874808091,20,0.24390243902439024,10,0.511829850917193,68,18,0.5337327238782633,0.40368731693779647,0.6424523102560781,0.6581322470048498,0.8015570902711363,0.7445532567628849,0.4689262261117504
training_Singapore_Singapore_50,Singapore,gaussian,0.2004256248474121,0.9250155890107973,6.3482008252319195,5.562067436577554,70,0.6302477795736932,0.6470357553021533,12,0.17142857142857143,10,0.5546105166214166,45,12,0.5086140143513642,0.5925542426073994,0.6591583185587094,0.7075443682381445,0.7568108785412246,0.8473439415539116,0.4652128304439789
training_Singapore_Singapore_51,Singapore,gaussian,0.10716724395751953,0.928786702640071,5.952305343892863,5.449841766527678,76,0.5427513716013664,0.5657704028056552,24,0.3157894736842105,10,0.4731631256270487,52,22,0.40803155498756816,0.4401318043511209,0.5706284550090882,0.6731038507090074,0.6659247885586291,0.7631676385646399,0.3067659934964623
training_Singapore_Singapore_52,Singapore,gaussian,0.1250908374786377,0.9269943669700328,5.345085279661273,4.407108216586649,50,0.45140638565715496,0.5335792615017656,21,0.42,10,0.36226572012184616,37,20,0.32115193383748886,0.3520026417951511,0.3973727372432617,0.7209535755081291,0.661543954507728,0.743738390944571,0.43464682085098105
training_Singapore_Singapore_53,Singapore,gaussian,0.1371455192565918,0.9255693977101921,4.5527875639330615,3.1461596765354756,46,0.36784550942942135,0.3869255151701415,28,0.6086956521739131,10,0.2771316416924817,34,26,0.20495924774526875,0.350029539180997,0.5060614798002597,0.585929742431833,0.7027449191885845,,0.08861402465019423
training_Singapore_Singapore_54,Singapore,gaussian,0.12122464179992676,0.939314845261026,5.430756445425943,3.0554332214291726,18,0.5228595452528781,0.5629290558489698,6,0.3333333333333333,10,0.483202500360906,11,5,0.4643145174854057,0.47479502856523714,0.5427233613713374,0.5740736729010247,0.6531952484516146,0.573377185263062,0.4838231081045516
training_Singapore_Singapore_55,Singapore,gaussian,0.1190481185913086,0.9304449978735793,6.493649244022363,5.20476070794414,33,0.4455411444595694,0.5731333925205241,15,0.45454545454545453,10,0.3595566144278625,25,15,0.17865643861833397,0.32067885440095445,0.6330610661898963,0.6306559949013728,0.6674131614770479,0.7570434510378863,0.48391304173568866
training_Singapore_Singapore_57,Singapore,gaussian,0.11983513832092285,0.9379298760080715,5.702222422848803,5.303491202519762,40,0.6202495853896666,0.6461813789285944,9,0.225,10,0.5766182437533472,28,8,0.5365502410831007,0.6000913871816097,0.6392737603090869,0.7215723745319818,0.6128635020987007,0.8684522364794088,0.4802066161825742
training_Singapore_Singapore_58,Singapore,gaussian,0.1227426528930664,0.9204513306640141,5.04662026941416,3.7250390720111595,22,0.5207879945805359,0.5316780900592964,9,0.4090909090909091,10,0.46292417150749277,12,6,0.3823874678255377,0.49332174165400927,0.5254469487789037,0.4735683107121126,0.7534669445762421,0.6370017176962939,0.2861690333029653
training_Singapore_Singapore_59,Singapore,gaussian,0.12057352066040039,0.932964736852951,5.435302258545436,4.963951417028183,63,0.5234806789214889,0.5585569800007706,23,0.36507936507936506,10,0.4793357876805239,52,23,0.4806057809527025,0.5377670438868153,0.4684269990073179,0.6912856467474893,0.7284932605619274,0.785101764451314,0.41653352464705323
training_Singapore_Singapore_60,Singapore,gaussian,0.11988377571105957,0.9162157632619299,7.862579047220685,7.248784996676796,37,0.6045387257901039,0.635375511450998,7,0.1891891891891892,10,0.5443566871966916,23,6,0.4189317514904838,0.5086252682760507,0.6679203466535741,0.649952305022155,0.6619589520273923,0.7948290019000143,0.41486134357287097
training_Singapore_Singapore_61,Singapore,gaussian,0.13057732582092285,0.9189844736670669,5.341517114384144,5.038753915050595,40,0.3837848578428546,0.5948420185683556,16,0.4,10,0.3006688817396048,33,16,-0.06953664163200768,0.6253315749173748,0.6565974965783046,0.750015505874844,0.6800842641704578,0.8330634781707448,0.3241877512169844
training_Singapore_Singapore_62,Singapore,gaussian,0.12527847290039062,0.9241349902519135,7.402512012857671,7.128484661018302,82,0.46135635430996763,0.5071790161193745,40,0.4878048780487805,10,0.3944329214101216,57,35,0.3568734147172856,0.42360620132554466,0.4805920736670385,0.5167849572966473,0.618300274510185,0.8448479851154773,0.2201893093348267
training_Singapore_Singapore_64,Singapore,gaussian,0.13144683837890625,0.9207091621732502,5.223238095649863,5.112755158723332,42,0.491142231556416,0.46614520651899416,23,0.5476190476190477,10,0.3935302445355611,31,23,0.38408003664638785,0.49323164690444415,0.43267919763846363,0.7211693745871329,0.7134300401630753,0.8280433138729139,0.3187252183527461
training_Singapore_Singapore_65,Singapore,gaussian,0.13224220275878906,0.9268225892402976,5.5835588345697325,5.173580053529259,82,0.5030925716119137,0.5257242675057159,31,0.3780487804878049,10,0.4434614330833734,60,29,0.411161380373401,0.4879456800083368,0.5392051829416125,0.615722682876514,0.7406744707033242,0.7970103079792088,0.2849151630716932
training_Singapore_Singapore_66,Singapore,gaussian,0.1336820125579834,0.9223337430405862,5.598535482651991,5.034353085463154,80,0.5776115628372909,0.6198123970998133,23,0.2875,10,0.5037060891936086,53,23,0.39003946965614655,0.5832508941206401,0.6026603869269141,0.6689981245400796,0.7447380989050197,0.8111571375329686,0.4216449777420366
