subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio,mean,sd,p_low,p_high,percentile_range
training_Amsterdam_GE3T_114,Amsterdam,wm_referenced,764.9957885742188,138363.0,0.9660787472740472,1.4306763985166044,1.0,1.5267126020579254,1.2640124126245016,1.5267126020579254,1.3,0.5795486600846262,0.8565770273087346,1.9560141755263707,,,,,
training_Amsterdam_GE3T_114,Amsterdam,z_score,,,0.27607078703837873,1.8248180800202707,0.3891480877810084,2.1449570429812064,1.269239728951063,5.5119300603842944,,,,,675.6918949032778,229.48562892899628,,,
training_Amsterdam_GE3T_114,Amsterdam,percentile,,,0.6464051761501792,0.9999999999999999,0.6722218787321225,1.0730909947210863,0.873155788506429,1.596334526845575,,,,,,,89.3130899810791,1094.4614196777331,"[1, 99]"
training_Amsterdam_GE3T_115,Amsterdam,wm_referenced,794.461669921875,159825.0,1.0002903247119417,1.4506388096302685,1.0,1.5326034881987882,1.2934871385922133,1.5326034881987882,1.3,0.07024690331698395,0.8922914466737064,24.404435058078143,,,,,
training_Amsterdam_GE3T_115,Amsterdam,z_score,,,0.1967715912973699,1.7871999215291479,0.19574629497174306,2.0766623073021497,1.2322108894076889,10.608948218416732,,,,,750.4263554397303,224.96116459574077,,,
training_Amsterdam_GE3T_115,Amsterdam,percentile,,,0.6571204618293469,1.0000000000000002,0.6568994187782792,1.0624050309372688,0.8803502305596812,1.6173024371267688,,,,,,,109.00664627075196,1152.476931152344,"[1, 99]"
training_Amsterdam_GE3T_116,Amsterdam,wm_referenced,647.7651977539062,135713.0,1.014868484220038,1.630231849003838,1.0,1.717394870528885,1.3724147353454283,1.717394870528885,1.3,0.020649123735903004,0.9543230016313213,91.43230016313214,,,,,
training_Amsterdam_GE3T_116,Amsterdam,z_score,,,0.11764878041546736,2.0093679670910425,0.07194083209502915,2.2773201553814175,1.216799529526865,31.655460314571094,,,,,632.606285592509,210.7136061669856,,,
training_Amsterdam_GE3T_116,Amsterdam,percentile,,,0.5726731814963819,0.9999999999999999,0.5623480591031235,1.0605286222922077,0.8209640462198435,1.8858936296208106,,,,,,,123.20625,1056.0074560546875,"[1, 99]"
training_Amsterdam_GE3T_126,Amsterdam,wm_referenced,781.91845703125,180893.0,0.909822236473917,1.4828142202078347,1.0,1.5886729573258882,1.35464842893799,1.5886729573258882,1.3,0.3730165323585611,0.9500634786288616,4.093948370715193,,,,,
training_Amsterdam_GE3T_126,Amsterdam,z_score,,,0.2515189784580114,1.9155128786138431,0.513399166483083,2.222931303030124,1.5433137886860808,4.329830370114891,,,,,643.6849137794959,269.25159267142874,,,
training_Amsterdam_GE3T_126,Amsterdam,percentile,,,0.5937291216803829,1.0,0.6576682346744201,1.0750574586166084,0.9091260784306042,1.634650119826477,,,,,,,56.646002006530765,1159.4398071289063,"[1, 99]"
training_Amsterdam_GE3T_132,Amsterdam,wm_referenced,793.323486328125,139312.0,0.937788298522859,2.0257324078852657,1.0,1.8816246919096844,1.479416843388718,1.8816246919096844,1.3,0.5697622252131,0.974477021242226,2.420644535982554,,,,,
training_Amsterdam_GE3T_132,Amsterdam,z_score,,,0.18808178227798944,2.9343677281316856,0.3451221301819324,2.5705981266723312,1.5553090578684896,7.4483723350839055,,,,,684.8599023608308,314.2759460545669,,,
training_Amsterdam_GE3T_132,Amsterdam,percentile,,,0.44618781366172716,1.0,0.47785635078085453,0.926642730480499,0.7219009555722722,1.9391658789640287,,,,,,,48.60565757751465,1607.0610961914062,"[1, 99]"
training_Amsterdam_GE3T_137,Amsterdam,wm_referenced,744.9925231933594,140810.0,0.9915868132426318,1.3889160797094375,1.0,1.4273960072366303,1.2373895206500598,1.4273960072366303,1.3,0.26166633942011913,0.783307210031348,4.987068965517241,,,,,
training_Amsterdam_GE3T_137,Amsterdam,z_score,,,0.26635088084445613,1.58170648506808,0.29420267351276397,1.709094001152904,1.0800789296155902,5.809240210996094,,,,,678.7852189489254,225.0397776944797,,,
training_Amsterdam_GE3T_137,Amsterdam,percentile,,,0.6955023509023521,0.9999999999999999,0.7019498890155611,1.0294895152669477,0.8838759565341732,1.466613972559693,,,,,,,62.61512226104737,1034.732094726563,"[1, 99]"
training_Amsterdam_GE3T_144,Amsterdam,wm_referenced,592.7059326171875,142132.0,1.018203730779061,1.434921595272278,1.0,1.4287194876187508,1.215903417337271,1.4287194876187508,1.3,0.038333533822526966,0.7563291139240507,38.460443037974684,,,,,
training_Amsterdam_GE3T_144,Amsterdam,z_score,,,0.2165805599424039,1.6632336539151356,0.15338556472567239,1.6417027837734417,0.9029030999772307,10.703111382805812,,,,,566.5179838536069,170.73281185499647,,,
training_Amsterdam_GE3T_144,Amsterdam,percentile,,,0.6786431052833883,0.9999999999999999,0.6646050836532609,0.9952171715540452,0.8311015496461159,1.4974564535128834,,,,,,,81.89823890686036,850.4865423583981,"[1, 99]"
training_Singapore_Singapore_50,Singapore,wm_referenced,276.1821746826172,141174.0,0.9880430665957638,1.500981065338849,1.0,1.4428379201513823,1.2501570314712118,1.4428379201513823,1.3,0.5224523737526459,0.8072655063660787,2.0902931900478916,,,,,
training_Singapore_Singapore_50,Singapore,z_score,,,0.2115497068556485,2.0065807515708745,0.25339310062407683,1.8031083028448391,1.1288198357167503,7.1158539770972435,,,,,256.18432315160584,78.92026847518356,,,
training_Singapore_Singapore_50,Singapore,percentile,,,0.6189958260645005,1.0,0.6278772923345879,0.956811971317301,0.8136909254898574,1.5238836998861045,,,,,,,42.72589450836182,414.54421478271485,"[1, 99]"
training_Singapore_Singapore_51,Singapore,wm_referenced,322.80291748046875,118817.0,0.9487656280636658,1.4383271602288836,1.0,1.3849533155233802,1.2080818192698801,1.3849533155233802,1.3,0.6861281826163301,0.7051658019399955,1.0554928942025716,,,,,
training_Singapore_Singapore_51,Singapore,z_score,,,0.3427081786199718,1.8545106390949968,0.5009237336936547,1.6896882328207226,1.1434958838399614,3.373144690832456,,,,,270.44030603719557,104.53210323489304,,,
training_Singapore_Singapore_51,Singapore,percentile,,,0.642486501643577,1.0,0.6799015727706755,0.961022529983101,0.8318580772421869,1.413473020906285,,,,,,,22.26564645767212,464.29620361328125,"[1, 99]"
training_Singapore_Singapore_52,Singapore,wm_referenced,290.739501953125,119702.0,0.9798306950638567,1.363382836399302,1.0,1.3595484159046882,1.188114971084141,1.3595484159046882,1.3,0.2162938641493946,0.6395631067961165,4.913834951456311,,,,,
training_Singapore_Singapore_52,Singapore,z_score,,,0.28216293144804605,1.5689530674500085,0.34982951401874907,1.5560888595940097,0.9809418534846462,4.448134869234079,,,,,260.4231334430429,86.66040827091935,,,
training_Singapore_Singapore_52,Singapore,percentile,,,0.6988736776794122,1.0,0.714708574593393,0.9969896011067663,0.8623974108981018,1.394959619274145,,,,,,,26.06705883026123,396.38924682617187,"[1, 99]"
training_Singapore_Singapore_53,Singapore,wm_referenced,235.23963928222656,146524.0,1.0274379381013987,1.4372001908324532,1.0,1.3164648774556624,1.1384355825335766,1.3164648774556624,1.3,0.017440912795436022,0.5616797900262467,63.40944881889764,,,,,
training_Singapore_Singapore_53,Singapore,z_score,,,0.16435900574828483,1.7120900645446837,0.06072196083790207,1.2560553928263403,0.5836130990570633,20.68535626145858,,,,,231.45788991333563,62.27976364245464,,,
training_Singapore_Singapore_53,Singapore,percentile,,,0.6812323895574952,1.0,0.659887509921174,0.9060760060629427,0.7675811287216545,1.3730764599123522,,,,,,,35.69586845397949,338.0864544677734,"[1, 99]"
training_Singapore_Singapore_54,Singapore,wm_referenced,289.76898193359375,104099.0,1.0258034891497239,1.4351628494547217,1.0,1.3685523662080115,1.1880368925188123,1.3685523662080115,1.3,0.013481453586895124,0.683206106870229,100.35496183206106,,,,,
training_Singapore_Singapore_54,Singapore,z_score,,,0.1748845837285355,1.7168332055332651,0.0776896533316205,1.46592910317321,0.7859749776290814,18.869039058725743,,,,,283.7924409682774,76.92840306295774,,,
training_Singapore_Singapore_54,Singapore,percentile,,,0.6787139042986018,1.0,0.6584620105145892,0.9477206968489157,0.8060429501569142,1.439294418987468,,,,,,,46.663130073547364,415.8656777954102,"[1, 99]"
training_Singapore_Singapore_55,Singapore,wm_referenced,353.4744567871094,121921.0,0.9469228590242423,1.3662426520491722,1.0,1.4326584648022287,1.2605744401691805,1.4326584648022287,1.3,0.1505477899508878,0.8259067357512954,9.972020725388601,,,,,
training_Singapore_Singapore_55,Singapore,z_score,,,0.31315675359200174,1.6605581965056244,0.48370967650688484,1.8739723100874965,1.321014240972053,3.8741675039879495,,,,,300.26471323245755,110.00347137751433,,,
