split,subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio
training,training_Singapore_Singapore_68,Singapore,wm_referenced,312.90032958984375,107893,0.9334302014275072,1.6045952577547622,1.0,1.4853645983592503,1.2492036276184475,1.4853645983592503,1.3,0.753822059810575,0.8258169934640522,1.1910130718954248
training,training_Singapore_Singapore_69,Singapore,wm_referenced,384.1767578125,114691,0.9171288005500805,1.364805069687872,1.0,1.3654317394387858,1.1747112331817477,1.3654317394387858,1.3,0.5315706121324795,0.6585906841835865,1.4779047944036854
training,training_Utrecht_Utrecht_0,Utrecht,wm_referenced,434.923828125,190006,0.9164546902295212,1.62923014873294,1.0,1.6994148860926617,1.4073343566581793,1.6994148860926617,1.3,0.527976153511768,0.9685577580314423,2.6689450899977216
training,training_Utrecht_Utrecht_11,Utrecht,wm_referenced,406.1056823730469,179247,0.9749510624680296,1.4206898829970471,1.0,1.4489432130750175,1.2404506528799182,1.4489432130750175,1.3,0.05714062071934562,0.8165548098434005,27.58053691275168
training,training_Utrecht_Utrecht_17,Utrecht,wm_referenced,512.57958984375,173022,0.9553447420989309,1.3810851818458072,1.0,1.4899233207876446,1.3286397382075763,1.4899233207876446,1.3,0.13312327688066167,0.9300314465408805,12.97248427672956
training,training_Utrecht_Utrecht_19,Utrecht,wm_referenced,463.5464782714844,134119,0.9624800791547261,1.8714653163822281,1.0,1.6989064347185827,1.3510477737535775,1.6989064347185827,1.3,0.2645152844144793,0.9362835959221502,6.079240037071362
training,training_Utrecht_Utrecht_2,Utrecht,wm_referenced,413.3501892089844,153280,0.9242895668322104,1.7519396612347327,1.0,1.6664000178963532,1.284674468364246,1.6664000178963532,1.3,0.5473476999585578,0.8909688843916013,2.255586474407623
training,training_Utrecht_Utrecht_21,Utrecht,wm_referenced,481.1846466064453,198386,0.9091787367000205,1.5587212967771582,1.0,1.5796049819950375,1.315225659227199,1.5796049819950375,1.3,0.6468512273547172,0.9143110519898016,1.826959317148875
training,training_Utrecht_Utrecht_23,Utrecht,wm_referenced,496.2425537109375,156961,0.8972908962592175,1.3324542540020599,1.0,1.4919807518364938,1.262742806722098,1.4919807518364938,1.3,0.06634169539888242,0.8403614457831325,24.33433734939759
training,training_Utrecht_Utrecht_25,Utrecht,wm_referenced,545.445068359375,160386,0.8704018722167739,1.5848855635024264,1.0,1.632593795473253,1.3940909333019418,1.632593795473253,1.3,0.7129601915594134,0.9535628502802241,1.6749399519615693
training,training_Utrecht_Utrecht_27,Utrecht,wm_referenced,496.130126953125,158776,0.9446727639065836,1.4975167728842729,1.0,1.6131649303274513,1.372973512276905,1.6131649303274513,1.3,0.03569245813470236,0.9511400651465798,52.29641693811075
training,training_Utrecht_Utrecht_29,Utrecht,wm_referenced,519.4947814941406,157908,0.8537317146028518,1.7043252883411388,1.0,1.6151778746217207,1.3435704280228788,1.6151778746217207,1.3,0.80183282127344,0.9412386519089665,1.347717945529163
training,training_Utrecht_Utrecht_31,Utrecht,wm_referenced,531.328857421875,157243,0.9396301410682146,1.953168941374968,1.0,1.6684981962695795,1.352896559931591,1.6684981962695795,1.3,0.7875873977890264,0.9429243179699217,1.3944626859621387
training,training_Utrecht_Utrecht_33,Utrecht,wm_referenced,468.82794189453125,154725,0.970311121445041,1.4556839129743662,1.0,1.6080492865964864,1.2769027337511718,1.6080492865964864,1.3,0.09290341578327443,0.8812849162011173,17.972067039106147
training,training_Utrecht_Utrecht_35,Utrecht,wm_referenced,497.31378173828125,163128,0.9868198152943014,1.3854428865821986,1.0,1.6133941761580681,1.3019141042041171,1.6133941761580681,1.3,0.13505244755244755,0.9017509727626459,12.354085603112841
training,training_Utrecht_Utrecht_37,Utrecht,wm_referenced,486.5915069580078,156308,0.9623569514514619,1.9635564461653732,1.0,1.6992501644989515,1.3708560759686466,1.6992501644989515,1.3,0.7932413180348964,0.9512454993019326,1.3983760746564773
