config,subject_key,site,runtime_s,brain_volume_ml,head_volume_ml,brain_fraction_of_head,shallow_fraction,shallow_volume_ml,mean_depth_mm,outside_head_voxels,wmh_retained_fraction,wmh_lost_voxels
deepbet_flair,training_Singapore_Singapore_59,Singapore,1.590259075164795,1295.6645148506163,2668.4860603606703,0.48554292042113784,0.048473215278035046,62.80502495646477,20.78559397037728,3234,1.0,0
deepbet_flair,training_Singapore_Singapore_60,Singapore,1.5863547325134277,1379.2411096122264,2984.4512371828555,0.462142283455148,0.012097958224849754,16.68600132608414,27.97046599341553,504,1.0,0
deepbet_flair,training_Utrecht_Utrecht_17,Utrecht,1.2149441242218018,1633.9215479534935,2681.972715186991,0.6092237772223472,0.033676205250999104,55.02427741291202,23.09780822359324,3317,1.0,0
deepbet_flair,training_Utrecht_Utrecht_29,Utrecht,1.5088210105895996,1615.7645648226041,2940.383475649285,0.549508109470591,0.03029977491303458,48.957302626582184,23.986108873134892,2506,1.0,0
deepbet_flair,training_Utrecht_Utrecht_35,Utrecht,1.9495630264282227,1333.8397692132517,2372.759430980446,0.5621470730650924,0.023932280693057036,31.92182775637396,22.56695617020754,830,1.0,0
deepbet_flair,training_Utrecht_Utrecht_39,Utrecht,1.599973440170288,1455.1508074704086,2791.1304822490038,0.5213481837287286,0.008569616298554374,12.47008407655297,26.457572629423453,386,1.0,0
deepbet_t1,training_Amsterdam_GE3T_102,Amsterdam,1.748077392578125,1601.0772959113933,3017.1847759495527,0.5306527159601986,0.07589617028003812,121.51563508199409,21.351919851978447,7780,1.0,0
deepbet_t1,training_Amsterdam_GE3T_112,Amsterdam,2.3764495849609375,1476.5559618718269,2800.7775540041303,0.5271950140277543,0.09773275997542752,144.30788941190576,18.587891758949883,8823,1.0,0
deepbet_t1,training_Amsterdam_GE3T_114,Amsterdam,1.051185131072998,1550.7033425592774,3300.3987072574687,0.4698533359467544,0.05196203794391845,80.57770592582635,23.39061561970689,3773,1.0,0
deepbet_t1,training_Amsterdam_GE3T_115,Amsterdam,1.135279655456543,1711.8025022491945,2732.1147590858795,0.6265485359121354,0.09500630527383784,162.63203109720646,20.41942276233433,10637,1.0,0
deepbet_t1,training_Singapore_Singapore_51,Singapore,1.448610782623291,1363.938,2897.814,0.47067824228884253,0.020611640705076036,28.113,24.973223128359567,1112,1.0,0
deepbet_t1,training_Singapore_Singapore_52,Singapore,0.9530599117279053,1248.251900797844,2524.463799373627,0.494462190785846,0.03865805943030734,48.254996165037156,23.115589361970024,2747,1.0,0
deepbet_t1,training_Singapore_Singapore_59,Singapore,2.039935350418091,1400.8565566501618,2668.4860603606703,0.5249630408265364,0.06485034864397198,90.84603609895706,19.936572683469024,6980,1.0,0
deepbet_t1,training_Singapore_Singapore_60,Singapore,1.775566816329956,1496.4361189260483,2984.4512371828555,0.5014108122398391,0.015222167870861166,22.77900181031227,27.004314695517156,1017,1.0,0
deepbet_t1,training_Utrecht_Utrecht_17,Utrecht,1.0511529445648193,1729.8524122548688,2681.972715186991,0.6449925468888525,0.03718256648105911,64.32035232108714,22.561776772188637,4257,1.0,0
deepbet_t1,training_Utrecht_Utrecht_29,Utrecht,1.254791259765625,1723.7163952132912,2940.383475649285,0.5862216304397733,0.03602500555448107,62.0968927119089,23.378759773370792,4202,1.0,0
deepbet_t1,training_Utrecht_Utrecht_35,Utrecht,1.1744825839996338,1409.9165435969041,2372.759430980446,0.5942096468727611,0.029279226464059033,41.281265775397124,22.022021416222717,2193,1.0,0
deepbet_t1,training_Utrecht_Utrecht_39,Utrecht,2.4118611812591553,1604.295878445213,2791.1304822490038,0.5747835468990767,0.012713880163564764,20.3968255454533,25.209634873039754,945,1.0,0
